0,0,0.0,4.05,0.39
0,0,1.0,6.05,0.39
0,0,2.0,5.05,0.39
0,0,3.0,5.05,-0.61
0,0,4.0,5.05,1.39
0,0,5.0,4.04,-0.37
0,0,6.0,6.04,-0.37
0,0,7.0,5.04,-0.37
0,0,8.0,5.04,-1.37
0,0,9.0,5.04,0.63
0,0,10.0,-0.62,24.72
0,0,11.0,1.38,24.72
0,0,12.0,0.38,24.72
0,0,13.0,0.38,23.72
0,0,14.0,0.38,25.72
0,1,0.0,0.48,16.48
0,1,1.0,2.48,16.48
0,1,2.0,1.48,16.48
0,1,3.0,1.48,15.48
0,1,4.0,1.48,17.48
0,1,5.0,4.03,0.75
0,1,6.0,6.03,0.75
0,1,7.0,5.03,0.75
0,1,8.0,5.03,-0.25
0,1,9.0,5.03,1.75
0,1,10.0,-0.39,24.25
0,1,11.0,1.61,24.25
0,1,12.0,0.61,24.25
0,1,13.0,0.61,23.25
0,1,14.0,0.61,25.25
0,2,0.0,-1.34,23.76
0,2,1.0,0.66,23.76
0,2,2.0,-0.34,23.76
0,2,3.0,-0.34,22.76
0,2,4.0,-0.34,24.76
0,2,5.0,3.95,0.71
0,2,6.0,5.95,0.71
0,2,7.0,4.95,0.71
0,2,8.0,4.95,-0.29
0,2,9.0,4.95,1.71
0,2,10.0,-0.33,24.02
0,2,11.0,1.67,24.02
0,2,12.0,0.67,24.02
0,2,13.0,0.67,23.02
0,2,14.0,0.67,25.02
1,0,0.0,3.89,0.46
1,0,1.0,5.89,0.46
1,0,2.0,4.89,0.46
1,0,3.0,4.89,-0.54
1,0,4.0,4.89,1.46
1,0,5.0,4.04,-0.22
1,0,6.0,6.04,-0.22
1,0,7.0,5.04,-0.22
1,0,8.0,5.04,-1.22
1,0,9.0,5.04,0.78
1,0,10.0,-0.6,24.60
1,0,11.0,1.4,24.60
1,0,12.0,0.40,24.60
1,0,13.0,0.40,23.6
1,0,14.0,0.40,25.6
1,1,0.0,1.26,16.07
1,1,1.0,3.26,16.07
1,1,2.0,2.26,16.07
1,1,3.0,2.26,15.07
1,1,4.0,2.26,17.07
1,1,5.0,4.08,0.79
1,1,6.0,6.08,0.79
1,1,7.0,5.08,0.79
1,1,8.0,5.08,-0.21
1,1,9.0,5.08,1.79
1,1,10.0,-0.37,23.80
1,1,11.0,1.63,23.80
1,1,12.0,0.63,23.80
1,1,13.0,0.63,22.8
1,1,14.0,0.63,24.8
1,2,0.0,0.26,24.05
1,2,1.0,2.26,24.05
1,2,2.0,1.26,24.05
1,2,3.0,1.26,23.05
1,2,4.0,1.26,25.05
1,2,5.0,4.02,0.45
1,2,6.0,6.02,0.45
1,2,7.0,5.02,0.45
1,2,8.0,5.02,-0.55
1,2,9.0,5.02,1.45
1,2,10.0,-0.71,23.90
1,2,11.0,1.29,23.90
1,2,12.0,0.29,23.90
1,2,13.0,0.29,22.9
1,2,14.0,0.29,24.9
2,0,0.0,4.06,0.47
2,0,1.0,6.06,0.47
2,0,2.0,5.06,0.47
2,0,3.0,5.06,-0.53
2,0,4.0,5.06,1.47
2,0,5.0,4.12,-0.29
2,0,6.0,6.12,-0.29
2,0,7.0,5.12,-0.29
2,0,8.0,5.12,-1.29
2,0,9.0,5.12,0.71
2,0,10.0,-0.71,26.62
2,0,11.0,1.29,26.62
2,0,12.0,0.29,26.62
2,0,13.0,0.29,25.62
2,0,14.0,0.29,27.62
2,1,0.0,2.74,18.41
2,1,1.0,4.74,18.41
2,1,2.0,3.74,18.41
