conID,tstID,poiID,x,y
24,2,1,4.39,1.6
24,2,2,7.88,27.19
25,0,0,4.97,0.47
25,0,1,5.03,-0.26
25,0,2,0.34,26.62
25,1,0,3.62,17.3
25,1,1,5.01,0.6
25,1,2,0.47,25.9
25,2,0,2.71,25.69
25,2,1,4.67,1.26
25,2,2,1.31,25.7
26,0,0,4.71,4.68
26,0,1,3.43,3.67
26,0,2,3.97,27.25
26,1,0,0.61,21.47
26,1,1,3.58,5.19
26,1,2,2.21,27.37
26,2,0,-0.64,26.89
26,2,1,3.4,6.13
26,2,2,0.71,27.32
27,0,0,4.99,0.17
27,0,1,5.08,-0.09
27,0,2,0.25,26.7
27,1,0,0.95,17.21
27,1,1,5.09,0.56
27,1,2,0.24,25.81
27,2,0,-1.83,24.96
27,2,1,5.1,1.0
27,2,2,-0.52,25.6
28,0,0,0.31,-1.18
28,0,1,1.33,-1.82
28,0,2,1.88,24.94
28,1,0,6.1,19.66
28,1,1,0.5,-2.5
28,1,2,5.21,24.98
28,2,0,7.36,24.62
28,2,1,1.56,-2.22
28,2,2,6.52,25.26
29,0,0,5.0,0.37
29,0,1,5.02,-0.22
29,0,2,0.42,24.66
29,1,0,0.62,17.47
29,1,1,4.94,0.84
29,1,2,0.5,24.0
29,2,0,-1.14,23.78
29,2,1,4.84,0.96
29,2,2,0.09,23.72
30,0,0,4.7,1.31
30,0,1,3.53,0.38
30,0,2,1.39,24.92
30,1,0,6.69,19.77
30,1,1,3.27,0.86
30,1,2,3.82,26.22
30,2,0,7.31,26.66
30,2,1,3.13,0.16
30,2,2,6.04,27.08
31,0,0,5.08,0.39
31,0,1,5.0,-0.16
31,0,2,0.31,26.44
31,1,0,1.02,17.11
31,1,1,5.07,1.11
31,1,2,0.24,25.64
31,2,0,-1.55,25.14
31,2,1,4.98,0.72
31,2,2,-0.31,25.63
32,0,0,2.43,4.04
32,0,1,3.2,3.34
32,0,2,1.55,25.0
32,1,0,7.79,22.77
32,1,1,3.91,6.56
32,1,2,6.5,25.43
32,2,0,8.48,25.22
32,2,1,4.13,6.8
32,2,2,7.45,25.74
33,0,0,5.0,0.45
33,0,1,5.02,-0.15
33,0,2,0.28,26.23
33,1,0,3.66,17.46
33,1,1,4.95,0.6
33,1,2,0.44,26.12
33,2,0,2.58,25.71
33,2,1,4.76,0.69
33,2,2,1.43,25.97
34,0,0,4.75,1.91
34,0,1,3.61,1.91
34,0,2,3.72,27.93
34,1,0,1.44,19.77
34,1,1,3.67,2.38
34,1,2,2.74,27.59
34,2,0,-0.27,27.88
34,2,1,3.66,3.91
34,2,2,0.88,28.29
35,0,0,4.24,7.02
35,0,1,3.63,6.21
35,0,2,-0.33,26.7
35,1,0,5.78,17.56
35,1,1,3.89,7.91
35,1,2,3.18,23.37
35,2,0,6.5,19.38
35,2,1,4.47,7.79
35,2,2,5.56,19.5
36,0,0,4.79,0.23
36,0,1,5.08,-0.24
36,0,2,0.3,27.11
36,1,0,3.77,17.74
36,1,1,4.95,0.77
36,1,2,0.46,26.41
36,2,0,2.77,26.1
36,2,1,4.65,0.95
36,2,2,1.3,26.29
37,0,0,2.51,-1.19
37,0,1,1.59,-1.13
37,0,2,4.39,26.34
37,1,0,6.91,21.27
37,1,1,0.82,-2.76
37,1,2,6.16,24.58
37,2,0,7.37,24.17
37,2,1,1.31,-2.83
37,2,2,6.44,24.23
38,0,0,5.03,-0.15
38,0,1,5.04,-0.4
38,0,2,0.21,26.52
38,1,0,3.45,16.55
38,1,1,5.0,0.69
38,1,2,0.35,26.15
38,2,0,2.2,26.44
38,2,1,4.67,0.84
38,2,2,1.24,26.42
39,0,0,2.34,0.31
39,0,1,3.12,0.08
39,0,2,3.78,26.23
39,1,0,0.74,14.68
39,1,1,3.67,-0.0
39,1,2,2.41,22.11
39,2,0,-0.06,17.36
39,2,1,3.92,1.97
39,2,2,0.71,17.51
40,0,0,0.22,4.12
40,0,1,1.73,3.49
40,0,2,0.5,13.68
40,1,0,7.08,23.8
40,1,1,0.57,2.21
40,1,2,5.96,20.03
40,2,0,8.85,27.55
40,2,1,3.82,5.02
40,2,2,9.02,27.36
41,0,0,5.02,0.65
41,0,1,5.07,-0.07
41,0,2,0.35,27.29
41,1,0,3.69,17.65
41,1,1,5.05,0.58
41,1,2,0.52,26.75
41,2,0,2.91,26.89
41,2,1,4.71,1.0
41,2,2,1.54,27.05
42,0,0,5.14,1.47
42,0,1,4.0,0.79
42,0,2,4.06,27.26
42,1,0,1.81,20.43
42,1,1,4.16,0.86
42,1,2,2.84,27.43
42,2,0,0.62,26.76
42,2,1,4.36,0.51
42,2,2,1.66,26.46
43,0,0,1.47,-1.3
43,0,1,2.39,-2.12
43,0,2,3.02,26.12
43,1,0,6.72,19.14
43,1,1,1.91,-2.29
43,1,2,5.66,25.92
43,2,0,8.39,24.87
43,2,1,2.57,-1.81
43,2,2,7.48,25.56
44,0,0,4.94,0.66
44,0,1,5.04,-0.15
44,0,2,0.66,25.07
44,1,0,0.85,17.47
44,1,1,4.9,0.97
44,1,2,0.82,24.23
44,2,0,-0.82,23.32
44,2,1,4.74,1.02
44,2,2,0.17,23.88
45,0,0,7.36,0.56
45,0,1,6.22,0.18
45,0,2,0.43,23.51
45,1,0,5.88,17.68
45,1,1,6.13,-0.96
45,1,2,3.54,24.36
45,2,0,5.3,22.9
45,2,1,4.65,-1.23
45,2,2,4.43,23.35
46,0,0,5.72,7.75
46,0,1,4.93,6.95
46,0,2,4.06,22.92
46,1,0,7.6,21.63
46,1,1,5.31,8.49
46,1,2,5.89,24.03
46,2,0,7.95,24.25
46,2,1,5.06,8.21
46,2,2,7.02,24.67
47,0,0,4.96,0.7
47,0,1,5.0,-0.23
