"0","8","8","7","6","4","7","7","8","7","6","6","7","8","7","4","30","6","10","8","22","9","38","6","33","6","13","8","39","4","31","4","33","6","14","25","6","36","6","20","42","8","12","37","4","15","28","7","10","27","7","12","37","8","31","40","40","6","38","39","39","7","38","36","36","7","20","36","25","5","18","8","32","6","24","36","38","2","10","36","27","14","8","25","25","35","25","6","39","21","8","36","4","10","32","12","29","6","34","37","22","33","5","24","24","32","33","6","22","31","10","11","6","29","38","39","38","36","4","34","38","39","34","36","36","6","12","10","12","37","28","13","6","14","34","36","38","38","38","26"
"8","0","6","6","6","9","7","8","6","8","7","9","7","11","8","10","30","8","11","6","21","7","34","3","32","8","18","9","38","8","30","8","31","8","18","26","8","39","6","20","40","8","15","35","8","16","30","9","14","29","6","12","34","5","29","38","40","6","37","40","36","4","37","34","35","6","20","33","26","7","18","10","32","8","25","34","37","8","14","34","28","16","4","23","24","34","27","7","35","24","11","34","8","8","30","13","28","9","32","38","23","29","8","24","24","32","34","8","21","30","12","14","6","28","36","39","40","36","8","34","36","37","33","36","34","8","14","12","14","36","28","12","8","18","33","34","40","38","39","26"
"8","6","0","3","9","10","1","10","2","2","4","12","4","10","10","12","26","10","12","3","24","5","36","6","28","2","20","12","36","8","27","11","29","2","18","24","4","36","2","22","37","2","18","34","9","14","26","2","14","24","7","8","34","4","30","42","38","4","37","42","38","6","34","38","38","4","22","34","30","10","20","14","28","12","22","36","38","8","16","32","30","17","6","26","20","30","28","4","34","26","12","32","9","10","34","16","26","12","28","36","27","30","8","22","28","28","30","10","16","36","16","16","6","27","38","41","42","34","9","30","35","40","34","35","34","9","17","14","10","35","32","10","2","20","32","36","42","39","42","27"
"7","6","3","0","8","10","2","9","4","3","2","12","5","10","11","11","28","9","11","5","24","6","36","6","30","2","18","10","38","8","29","10","30","4","18","24","4","37","4","22","38","4","16","34","10","14","27","4","15","24","6","10","34","6","30","42","38","5","38","41","36","8","36","37","38","3","22","33","29","10","19","12","30","10","24","37","37","8","16","33","30","17","8","27","22","30","28","2","35","25","10","34","10","12","34","14","26","10","30","38","27","30","9","21","27","28","32","12","17","35","14","14","6","26","37","41","40","34","9","32","35","39","34","36","34","8","16","13","12","34","31","10","2","20","33","35","41","38","40","26"
"6","6","9","8","0","4","8","4","8","10","9","6","10","6","6","5","34","4","12","10","18","12","36","6","34","10","14","5","42","4","35","4","36","10","14","30","10","42","8","16","42","10","12","39","4","20","34","11","10","32","6","16","39","10","34","36","42","10","40","42","39","9","41","31","32","10","20","38","24","4","20","8","34","5","30","36","40","4","10","38","26","15","8","22","28","38","23","10","40","21","12","38","4","10","28","11","32","4","34","40","22","34","3","30","22","36","38","4","26","29","8","11","10","34","40","40","40","38","5","38","40","41","37","38","38","6","14","9","17","39","26","16","9","14","36","38","40","38","36","28"
"4","9","10","10","4","0","8","3","12","9","8","6","10","4","6","4","35","4","12","10","20","12","36","7","34","8","10","4","42","2","36","3","35","8","12","30","8","41","9","15","44","10","12","40","3","20","34","9","8","30","10","16","40","11","34","36","42","9","42","42","42","8","42","34","34","10","18","40","24","3","22","8","34","4","29","38","42","4","10","39","26","16","9","26","28","36","22","8","42","20","12","39","3","12","29","10","30","4","36","39","22","36","2","27","24","34","35","3","24","30","8","8","7","34","42","42","39","38","2","38","40","42","38","40","38","7","13","10","16","40","27","17","8","13","38","40","41","40","35","28"
"7","7","1","2","8","8","0","10","4","1","2","12","4","10","10","10","27","10","12","3","23","6","34","6","28","2","18","11","37","8","28","10","30","2","18","24","2","36","2","22","38","2","18","34","8","14","28","2","14","24","8","10","34","4","30","40","37","4","37","42","36","6","35","38","37","4","22","34","29","10","20","14","28","11","24","36","38","6","16","32","30","16","6","26","21","31","26","3","36","25","12","33","8","12","32","14","26","12","30","36","28","30","8","21","28","28","30","10","17","36","14","15","6","26","37","41","41","34","8","32","36","40","34","35","34","9","17","14","10","35","31","10","2","20","32","35","42","39","41","26"
"7","8","10","9","4","3","10","0","10","10","8","5","11","2","6","4","36","4","12","12","18","11","36","8","37","10","12","4","42","3","38","4","36","10","12","30","9","42","10","14","44","12","11","40","4","22","35","11","10","32","8","18","40","12","34","34","42","10","42","42","41","10","42","32","32","9","18","38","24","4","21","8","36","2","31","37","42","4","12","40","25","17","10","26","30","38","21","9","42","20","10","40","4","12","28","9","32","2","38","41","22","36","2","28","23","37","38","4","26","28","9","8","10","34","42","41","38","38","4","40","40","41","38","40","38","6","14","8","18","38","26","18","10","14","38","40","41","38","34","27"
"8","6","2","4","8","12","4","10","0","4","4","12","4","12","11","12","28","10","14","4","26","4","36","6","30","4","20","12","38","10","28","12","30","5","20","24","4","36","4","22","38","4","20","34","10","16","28","6","16","25","8","10","36","3","30","42","37","4","38","42","37","6","36","38","39","5","25","34","32","10","20","15","30","10","24","34","36","8","18","34","33","18","8","26","22","32","28","6","36","28","10","34","9","11","35","18","27","12","29","38","28","30","10","24","30","30","33","10","19","36","15","16","8","28","38","42","42","34","10","32","38","39","34","35","36","8","18","16","12","34","34","11","5","22","32","36","42","40","40","28"
"7","8","2","3","10","9","1","10","4","0","3","12","4","10","10","11","28","10","12","2","23","4","34","6","28","2","19","12","36","8","28","10","30","2","20","24","3","35","2","21","38","2","17","33","8","12","28","2","14","24","7","10","34","5","29","40","38","4","36","40","36","6","34","37","36","3","22","33","28","10","19","13","26","12","22","35","36","7","15","32","30","16","6","26","21","32","26","4","36","24","10","32","8","11","32","14","26","12","30","34","27","30","8","20","28","30","30","10","17","34","14","14","5","26","36","40","40","34","8","31","36","38","32","34","34","8","16","14","10","34","30","11","2","19","31","34","41","38","41","26"
"6","7","4","2","9","8","2","8","4","3","0","9","3","10","11","9","30","8","14","5","24","4","34","6","29","1","18","9","36","8","30","9","29","2","19","24","1","36","3","20","39","3","18","32","6","14","28","3","16","24","8","11","34","4","29","40","36","3","36","40","36","5","34","38","38","2","24","34","30","9","20","14","29","8","24","34","36","7","16","32","30","18","8","28","22","32","28","4","36","26","12","34","7","12","34","16","24","10","30","36","28","30","8","22","30","30","31","8","18","34","14","14","6","28","36","41","39","32","6","32","36","38","32","34","34","8","17","16","11","33","32","12","2","19","32","34","40","39","38","25"
"6","9","12","12","6","6","12","5","12","12","9","0","10","4","4","4","36","5","13","12","17","12","34","7","36","10","12","6","42","4","36","4","36","10","12","30","10","41","12","14","45","12","10","39","4","20","35","12","9","32","10","18","40","11","34","34","40","10","40","40","38","9","41","32","31","11","17","38","22","4","20","6","36","3","30","36","40","6","10","39","24","14","10","23","30","40","20","12","42","18","12","39","4","10","28","10","32","2","37","40","20","36","6","29","22","38","38","4","28","26","8","8","10","34","40","38","36","39","4","39","42","38","37","38","38","6","12","8","18","39","26","18","11","12","36","37","38","38","34","25"
"7","7","4","5","10","10","4","11","4","4","3","10","0","12","11","11","27","10","14","5","26","4","35","6","27","2","20","12","34","10","27","10","28","3","20","22","2","35","4","22","38","2","20","32","9","13","26","3","16","24","10","9","34","2","28","42","36","2","36","40","36","5","32","38","39","4","24","33","30","9","20","13","28","10","21","34","34","8","18","31","31","19","8","26","20","31","29","6","34","27","13","32","8","12","34","19","24","10","28","34","28","28","10","21","30","28","30","9","17","34","16","16","7","26","35","40","40","32","10","30","36","38","32","32","34","10","17","17","10","34","32","10","4","20","30","34","40","40","40","27"
"8","11","10","10","6","4","10","2","12","10","10","4","12","0","4","4","36","5","13","12","17","12","34","8","38","10","10","5","44","4","37","5","38","10","12","30","10","42","10","14","45","12","9","40","4","21","36","10","8","31","10","18","42","14","37","33","42","12","43","44","40","10","43","32","31","12","16","41","22","6","22","6","36","4","31","38","44","5","8","40","24","14","10","25","30","40","18","10","44","18","12","41","4","12","27","8","34","3","39","41","20","38","3","30","22","38","38","4","26","28","6","6","10","35","43","41","38","42","4","40","42","40","40","42","40","8","13","6","18","40","25","19","9","12","40","40","40","38","34","26"
"7","8","10","11","6","6","10","6","11","10","11","4","11","4","0","6","32","7","10","10","17","12","36","7","35","11","13","7","42","4","34","6","36","10","12","30","12","40","8","16","42","12","10","40","6","21","34","12","8","31","8","16","40","11","36","35","42","11","41","41","38","10","40","30","31","12","15","38","22","5","20","6","34","7","28","38","42","6","8","40","24","10","8","20","28","38","22","11","40","19","11","38","6","8","26","9","34","6","36","40","19","34","5","29","20","36","38","6","26","28","8","10","9","34","40","38","38","41","4","36","40","40","39","39","38","6","10","6","18","40","25","16","10","12","38","38","38","37","36","26"
"4","10","12","11","5","4","10","4","12","11","9","4","11","4","6","0","34","5","12","11","20","12","35","8","38","10","12","5","44","4","35","2","38","10","13","28","10","39","10","16","47","12","10","40","3","18","34","11","9","28","11","16","41","12","35","36","42","10","42","43","42","8","42","34","34","12","18","40","23","2","22","6","36","2","28","36","42","5","10","40","25","15","10","26","28","38","22","10","43","19","10","40","2","12","30","10","34","4","38","40","20","36","4","28","22","36","36","2","26","28","7","6","8","32","42","42","39","41","3","38","40","40","38","40","40","7","12","8","16","40","26","16","9","12","38","40","42","41","36","28"
"30","30","26","28","34","35","27","36","28","28","30","36","27","36","32","34","0","36","28","26","39","29","36","30","10","29","39","38","18","33","2","34","14","28","36","14","30","16","27","46","18","28","36","19","34","23","6","28","36","14","32","20","18","26","14","30","25","27","18","21","22","28","16","34","30","30","41","18","35","34","28","34","12","36","8","21","20","32","32","18","36","30","27","30","10","17","38","28","18","40","30","18","34","31","30","36","13","37","11","18","40","14","34","13","38","10","13","34","16","37","34","37","29","7","20","24","28","20","34","4","19","24","18","20","19","34","32","33","21","21","32","19","28","38","15","22","26","25","40","35"
"6","8","10","9","4","4","10","4","10","10","8","5","10","5","7","5","36","0","12","12","20","8","34","7","34","8","13","2","40","4","36","4","34","8","14","27","8","40","10","14","44","10","13","38","3","20","34","10","11","30","6","17","38","12","32","36","39","10","40","40","40","10","40","33","34","9","19","37","24","4","20","9","34","2","30","36","39","6","12","38","26","16","10","25","30","38","23","9","39","20","10","38","3","10","29","12","30","5","36","42","22","34","4","27","24","36","38","5","24","28","10","8","8","34","40","40","36","37","2","39","40","39","36","38","36","4","13","10","18","36","27","18","10","16","36","37","38","37","34","24"
"10","11","12","11","12","12","12","12","14","12","14","13","14","13","10","12","28","12","0","10","18","13","39","10","32","14","16","12","37","10","28","10","33","12","16","28","14","38","12","22","39","14","10","38","12","16","29","13","14","29","11","12","36","12","31","40","44","12","34","34","38","12","38","33","34","14","17","34","20","12","12","12","32","12","23","40","38","10","8","37","24","9","9","20","22","38","27","11","36","20","8","38","12","8","32","10","30","13","34","39","21","33","12","22","21","30","34","13","21","30","12","14","12","26","36","36","39","37","11","30","36","38","38","38","36","11","8","10","13","38","24","13","12","14","36","37","36","36","42","28"
